# ----------------------------------------
# All Web Site Data
# Pages
# 20140201-20140531
# ----------------------------------------

Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/,"3,465","2,590",00:01:28,"2,347",36.86%,36.57%,$0.00
/2013/10/22/dear-mr-putin-can-i-call-you-vlad/,500,434,00:01:10,415,89.40%,84.20%,$0.00
/staff/,470,424,00:01:18,55,74.55%,50.00%,$0.00
/2014/02/06/cracks-in-the-basin-part-3-the-whole-county-is-fracked/,403,323,00:03:40,234,70.94%,60.79%,$0.00
/2014/02/28/chiraq-an-unbalanced-portrayal-of-drill-music/,368,339,00:04:52,308,89.29%,86.68%,$0.00
/2014/04/25/no-mans-land/,274,236,00:02:47,221,72.40%,70.44%,$0.00
/about/,226,193,00:00:56,16,18.75%,23.89%,$0.00
/2014/04/19/epilogue/,212,176,00:02:28,93,65.59%,55.19%,$0.00
/2014/02/28/preview-supreme-court-2013-2014-term/,206,183,00:03:58,169,86.39%,83.01%,$0.00
/category/world/,204,165,00:00:43,7,42.86%,16.18%,$0.00
/2014/01/16/cracks-in-the-basin-part-1-illinois-a-national-model/,182,156,00:02:31,66,69.70%,56.04%,$0.00
/category/columns/ucpu/,177,163,00:00:14,40,57.50%,36.72%,$0.00
/category/national/,176,156,00:00:45,9,33.33%,21.02%,$0.00
/category/columns/rxeform/,172,137,00:00:35,20,50.00%,15.70%,$0.00
/category/opinion/,168,144,00:00:32,6,16.67%,21.43%,$0.00
/2014/03/25/a-chicagoan-reviews-chicagoland-episode-2/,166,118,00:01:38,103,62.14%,62.65%,$0.00
/category/columns/supremecourtspotlight/,166,129,00:00:50,12,50.00%,24.10%,$0.00
/author/lbeckoff/,165,137,00:01:10,137,78.10%,78.18%,$0.00
/2014/01/31/panda-diplomacy/,156,131,00:04:46,115,86.96%,75.64%,$0.00
/2014/03/19/a-chigoan-reviews-chicagoland-episode-1/,156,124,00:02:48,93,75.27%,64.74%,$0.00
/2014/02/24/health-beyond-medicine/,152,137,00:02:32,120,72.50%,67.11%,$0.00
/2014/03/17/vandalizing-the-diary-of-anne-frank-shift-of-sentiment-or-colossal-coincidence/,152,142,00:04:23,117,90.60%,80.92%,$0.00
/author/dloyorosales/,149,126,00:00:47,124,58.87%,57.05%,$0.00
/category/chicago/,149,132,00:00:46,9,33.33%,14.09%,$0.00
/2014/01/24/tommy-vietor-bridging-the-gap-between-the-public-and-the-classified/,141,136,00:03:10,113,93.81%,85.82%,$0.00
/2014/02/13/china-invests-in-africa/,137,122,00:02:33,98,75.51%,65.69%,$0.00
/2014/03/10/in-putins-shoes/,125,110,00:02:54,79,79.75%,69.60%,$0.00
/2014/03/18/protests-in-venezuela/,125,114,00:03:52,46,84.78%,68.00%,$0.00
/category/interviews/,118,93,00:00:37,6,33.33%,21.19%,$0.00
/2014/04/27/deportations-and-their-role-in-immigration-policy/,111,106,00:02:28,87,83.91%,75.68%,$0.00
/join/,109,101,00:01:48,5,40.00%,35.78%,$0.00
/category/columns/shatterzones/,102,84,00:00:43,9,55.56%,13.73%,$0.00
/2014/01/31/anti-gay-law-in-nigeria/,101,91,00:03:11,70,85.71%,72.28%,$0.00
/2014/01/24/cracks-in-the-basin-part-2-big-greens-little-greens-and-a-fractured-opposition/,99,89,00:02:12,23,86.96%,44.44%,$0.00
/2014/02/12/ucpu-debate-humanitarian-intervention/,99,87,00:02:25,51,86.27%,69.70%,$0.00
/2014/03/17/fighting-words/,98,79,00:03:31,59,83.05%,67.35%,$0.00
/category/columns/cartoons/,98,73,00:00:51,2,0.00%,14.29%,$0.00
/2013/11/14/the-captain-has-the-con-fact-and-fiction-in-captain-phillips/,97,93,00:02:23,92,94.57%,94.85%,$0.00
/2014/02/18/private-lives-public-figures-the-politics-of-frances-first-lady/,97,89,00:01:39,76,80.26%,73.20%,$0.00
/2014/02/10/mayor-emanuel-gets-schooled/,96,89,00:01:42,42,88.10%,59.38%,$0.00
/2014/04/29/incentivizing-education-performance-based-compensation-for-teachers/,95,83,00:02:05,55,80.00%,57.89%,$0.00
/2013/11/21/damage-control-diplomacy-kerrys-visit-to-saudi-arabia/,91,80,00:01:04,77,85.71%,85.71%,$0.00
/2014/04/06/mandatory-minimums-cooperation-on-reform/,91,82,00:00:36,72,80.56%,76.92%,$0.00
/2014/04/14/riding-with-strangers-regulating-ride-sharing-in-chicago-and-illinois/,90,79,00:02:37,56,92.86%,74.44%,$0.00
/2014/02/24/pop-culture-podcast-episode-1/,89,82,00:02:44,58,74.14%,68.54%,$0.00
/2014/02/25/saving-more-than-kenneth-bae-us-foreign-policy-in-north-korea/,89,78,00:02:29,50,70.00%,60.67%,$0.00
/2014/03/09/putin-and-obama-take-on-sochi/,85,82,00:00:37,48,89.58%,68.24%,$0.00
/category/culture/,82,69,00:00:58,0,0.00%,17.07%,$0.00
/contact/,82,70,00:00:30,6,33.33%,18.29%,$0.00
/2014/05/12/to-build-a-future/,77,72,00:01:56,59,79.66%,72.73%,$0.00
/2013/11/26/thick-blurred-lines-plagiarism/,75,69,00:04:15,65,87.69%,88.00%,$0.00
/2014/02/25/house-republicans-take-vine-social-media-and-political-discourse/,75,57,00:01:17,38,68.42%,48.00%,$0.00
/2014/02/28/shelby-county-v-holder-a-setback-for-liberal-voting-rights-activists/,73,66,00:01:29,37,86.49%,60.27%,$0.00
/author/astapleton/,73,52,00:01:41,25,44.00%,36.99%,$0.00
/category/national/education/,73,66,00:01:30,7,42.86%,24.66%,$0.00
/2014/02/19/in-the-minority-an-interview-with-representatives-kelly-r-ny-and-davis-d-tn/,72,66,00:02:04,43,86.05%,65.28%,$0.00
/2014/03/29/a-chicagoan-reviews-chicagoland-episode-3/,72,61,00:01:11,36,75.00%,55.56%,$0.00
/2014/03/28/ucpu-debate-corporate-greed/,70,58,00:03:12,38,78.95%,62.86%,$0.00
/2014/05/11/1204/,70,62,00:04:19,45,86.67%,70.00%,$0.00
/2013/12/01/jon-favreau-the-voice-behind-a-generational-voice/,69,67,00:09:14,45,93.33%,78.26%,$0.00
/2014/04/04/legacy-of-the-2012-2013-supreme-court/,68,61,00:01:34,45,84.44%,73.53%,$0.00
/2014/04/15/ana-navarro-rising-republican-adviser-weighs-in-on-women-hispanics-and-the-gop/,66,58,00:01:36,38,78.95%,62.12%,$0.00
/2014/03/04/vergara-v-california-v-students/,65,62,00:01:50,45,88.89%,73.85%,$0.00
/2014/03/10/fixing-the-big-ms/,64,59,00:00:50,41,82.93%,71.88%,$0.00
/2013/12/13/the-old-the-young-and-the-inter-generational-transfer-of-wealth/,61,55,00:05:47,44,86.36%,78.69%,$0.00
/2014/05/04/senators-mark-kirk-and-dick-durbin-a-rare-bipartisan-bromance/,61,56,00:01:29,32,71.88%,59.02%,$0.00
/2014/04/21/new-ceos-controversial-resignation-from-mozilla-corporation/,60,48,00:01:06,28,78.57%,53.33%,$0.00
/2014/05/28/the-state-of-opinion-writing-an-interview-with-frank-rich/,60,52,00:03:37,35,62.86%,58.33%,$0.00
/2013/12/17/google-it/,59,56,00:00:51,30,83.33%,59.32%,$0.00
/author/lwetterstrom/,57,36,00:00:45,24,45.83%,36.84%,$0.00
/category/national/business/,57,44,00:00:16,0,0.00%,10.53%,$0.00
/2013/11/15/superfood-to-the-rescue/,56,54,00:06:13,52,92.31%,92.86%,$0.00
/2014/04/21/closing-the-gap/,56,50,00:01:12,33,87.88%,78.57%,$0.00
/2014/04/28/childs-play-the-curious-problem-with-pakistans-judicial-system/,56,50,00:01:20,28,85.71%,53.57%,$0.00
/2014/05/16/kasim-reed-atlantas-decisive-leader/,56,51,00:03:22,28,92.86%,66.07%,$0.00
/2014/02/06/illinois-state-of-the-state-governor-quinn-unofficially-kicks-off-his-campaign/,53,49,00:01:17,33,90.91%,73.58%,$0.00
/2014/03/05/crisis-in-turkey-arrests-reveal-the-dark-sides-of-former-allies/,52,47,00:01:10,31,80.65%,67.31%,$0.00
/author/aneri-amin/,52,33,00:01:00,28,50.00%,42.31%,$0.00
/2014/03/10/gop-forum/,51,47,00:01:01,38,84.21%,80.39%,$0.00
/2014/04/07/de-blasios-education-promises/,51,44,00:02:48,18,72.22%,54.90%,$0.00
/2014/04/07/two-twenty-four/,50,48,00:03:11,29,72.41%,70.00%,$0.00
/2014/05/29/review-last-week-tonight-with-john-oliver/,50,46,00:02:31,39,84.62%,74.00%,$0.00
/category/national/science/,50,46,00:00:11,1,100.00%,16.00%,$0.00
/category/world/page/2/,49,40,00:00:20,1,100.00%,10.20%,$0.00
/2014/03/17/where-are-the-pragmatists-cantors-foreign-policy-and-the-republican-response/,48,46,00:00:51,32,96.88%,70.83%,$0.00
